line_id	text	tokens_space
1	| مقدمه	| مقدمه
2	. . .	. . .
3	بسم الله الرحمن الرحيم	بسم الله الرحمن الرحيم
4	الحمد لله الفتاح الجواد المعين	الحمد لله الفتاح الجواد المعين
5	علي التفقه في الدين من اختاره من العباد واشهد ان لا اله الله شهاده	علي التفقه في الدين من اختاره من العباد واشهد ان لا اله الله شهاده
6	تدخلنا دار الخلود واشهد ان سيدنا محمدا ورسوله صاحب المقام المحموم صلي	تدخلنا دار الخلود واشهد ان سيدنا محمدا ورسوله صاحب المقام المحموم صلي
7	الله وسلم عليه وعلي اله واصحابه الامجاد صلاه وسلاما افوز بهما يوم	الله وسلم عليه وعلي اله واصحابه الامجاد صلاه وسلاما افوز بهما يوم
8	المعاد .	المعاد .
9	وبعد فهذا شرح مفيد علي كتاب المسمي بقره العين بمهمات الدين يبين المراد	وبعد فهذا شرح مفيد علي كتاب المسمي بقره العين بمهمات الدين يبين المراد
10	ويتمم المفاد ويحصل المقاصد ويبرز الفوائد وسميته : بفتح بشرح قره العين	ويتمم المفاد ويحصل المقاصد ويبرز الفوائد وسميته : بفتح بشرح قره العين
11	بمهمات الدين وانا اسال الله الكريم المنان ان يعم الانتفاع به للخاصه	بمهمات الدين وانا اسال الله الكريم المنان ان يعم الانتفاع به للخاصه
12	والعامه من الاخوان وان يسكنني به الفردوس في دار الامامان انه اكرم كريم	والعامه من الاخوان وان يسكنني به الفردوس في دار الامامان انه اكرم كريم
13	وارحم رحيم .	وارحم رحيم .
14	بسم الله الرحمن الرحيم .	بسم الله الرحمن الرحيم .
15	اي : اولف : والاسم مشتق من السمو وهو العلو لا من الوسم وهو العلامه .	اي : اولف : والاسم مشتق من السمو وهو العلو لا من الوسم وهو العلامه .
16	الحمد لله الذي هدانا لهذا وما كنا لنهتدي لولا ان	الحمد لله الذي هدانا لهذا وما كنا لنهتدي لولا ان
17	هدانا الله والصلاه والسلام علي سيدنا محمد رسول الله .	هدانا الله والصلاه والسلام علي سيدنا محمد رسول الله .
18	والله : علم للذات الواجب الوجود	والله : علم للذات الواجب الوجود
19	وهو اسم جنس لكل معبود ثم عرف بال وحذفت الهمزه ثم استعمل في المعبود بحق	وهو اسم جنس لكل معبود ثم عرف بال وحذفت الهمزه ثم استعمل في المعبود بحق
20	وهو الاسم الاعظم عند الاكثر ولم يسم به غيره ولو تعنتا .	وهو الاسم الاعظم عند الاكثر ولم يسم به غيره ولو تعنتا .
21	والرحمن الرحيم صفتان بنيتا للمبالغه من رحم والرحمن ابلغ من الرحيم لان	والرحمن الرحيم صفتان بنيتا للمبالغه من رحم والرحمن ابلغ من الرحيم لان
22	زياده البناء تدل علي زياده المعني ولقولهم : رحمن الدنيا والاخره ورحيم	زياده البناء تدل علي زياده المعني ولقولهم : رحمن الدنيا والاخره ورحيم
23	الاخره :	الاخره :
24	الحمد الله الذي هدانا اي دلنا لهذا التاليف وما كنا لنهتدي لولا ان	الحمد الله الذي هدانا اي دلنا لهذا التاليف وما كنا لنهتدي لولا ان
25	هدانا الله اليه .	هدانا الله اليه .
26	والحمد هو الوصف بالجميل .	والحمد هو الوصف بالجميل .
27	والصلاه وهي من الله الرحمه المقرونه بالتعظيم .	والصلاه وهي من الله الرحمه المقرونه بالتعظيم .
28	والسلام اي التسليم من كل افه ونقض علي سيدنا محمد رسول الله لكافه	والسلام اي التسليم من كل افه ونقض علي سيدنا محمد رسول الله لكافه
29	الثقلين الجن والانس	الثقلين الجن والانس
30	اجماعا وكذا الملائكه علي ما قاله جمع محققون1 .	اجماعا وكذا الملائكه علي ما قاله جمع محققون1 .
31	ومحمد علم منقول من اسم المفعول المضعف موضوع لمن كثرت خصاله الحميده سمي	ومحمد علم منقول من اسم المفعول المضعف موضوع لمن كثرت خصاله الحميده سمي
32	به نبينا صلي الله عليه واله وسلم بالهام من الله لجده . PageV01P032	به نبينا صلي الله عليه واله وسلم بالهام من الله لجده . PageV01P032
33	وعلي اله	وعلي اله
34	والرسول من البشر ذكر حر اوحي اليه	والرسول من البشر ذكر حر اوحي اليه
35	بشرع وامر بتبليغه وان لم يكن له كتاب ولا نسخ كيوشع عليه السلام فان لم	بشرع وامر بتبليغه وان لم يكن له كتاب ولا نسخ كيوشع عليه السلام فان لم
36	يؤمر بالتبليغ فنبي .	يؤمر بالتبليغ فنبي .
37	والرسول افضل من النبي اجماعا وصح خبر ms001 ان عدد الانبياء عليهم الصلاه	والرسول افضل من النبي اجماعا وصح خبر ms001 ان عدد الانبياء عليهم الصلاه
38	والسلام مائه الف واربعه وعشرون الفا وان عدد الرسل ثلاثمائه وخمسه عشر1 .	والسلام مائه الف واربعه وعشرون الفا وان عدد الرسل ثلاثمائه وخمسه عشر1 .
39	وعلي اله اي اقاربه المؤمنين من بني هاشم والمطلب وقيل : PageV01P033	وعلي اله اي اقاربه المؤمنين من بني هاشم والمطلب وقيل : PageV01P033
40	وصحبه الفائزين برضا الله .	وصحبه الفائزين برضا الله .
41	وبعد فهذا مختصر في الفقه علي مذهب الغمام الشافعي رحمه الله تعالي .	وبعد فهذا مختصر في الفقه علي مذهب الغمام الشافعي رحمه الله تعالي .
42	هم كل مؤمن اي في مقام الدعاء ونحو	هم كل مؤمن اي في مقام الدعاء ونحو
43	واختير لخبر ضعيف فيه وجزم به النووي في شرح	واختير لخبر ضعيف فيه وجزم به النووي في شرح
44	مسلم .	مسلم .
45	وصحبه وهو اسم جمع لصاحب بمعني الصحابي وهو من اجتمع مؤمنات بنبينا صلي	وصحبه وهو اسم جمع لصاحب بمعني الصحابي وهو من اجتمع مؤمنات بنبينا صلي
46	الله عليه واله وسلم ولو اعمي وغير مميز .	الله عليه واله وسلم ولو اعمي وغير مميز .
47	الفائزين برضا الله تعالي صفه لمن ذكر .	الفائزين برضا الله تعالي صفه لمن ذكر .
48	وبعد اي بعدما تقدم من البسمله والحمدله والصلاه والسلام علي من ذكر .	وبعد اي بعدما تقدم من البسمله والحمدله والصلاه والسلام علي من ذكر .
49	فهذا المؤلف الحاضر ذهنا مختصر قل لفظه وكثر معناه من الاختصار .	فهذا المؤلف الحاضر ذهنا مختصر قل لفظه وكثر معناه من الاختصار .
50	في الفقه هو لغه : الفهم . واصطلاحا : العلم بالاحكام الشرعيه العمليه	في الفقه هو لغه : الفهم . واصطلاحا : العلم بالاحكام الشرعيه العمليه
51	المكتسب من ادلتها التفصيليه .	المكتسب من ادلتها التفصيليه .
52	واستمداده من الكتاب والسنه والاجماع والقياس . وفائدته : امتثال اوامر	واستمداده من الكتاب والسنه والاجماع والقياس . وفائدته : امتثال اوامر
53	الله تعالي واجتناب نواهيه .	الله تعالي واجتناب نواهيه .
54	علي مذهب الامام المجتهد ابي عبد الله محمد بن ادريس الشافعي رحمه الله	علي مذهب الامام المجتهد ابي عبد الله محمد بن ادريس الشافعي رحمه الله
55	تعالي ورضي عنه اي ما ذهب اليه من الاحكام في المسائل .	تعالي ورضي عنه اي ما ذهب اليه من الاحكام في المسائل .
56	ادريس والده هو ابن عباس بن عثمان بن شافع بن السائب بن	ادريس والده هو ابن عباس بن عثمان بن شافع بن السائب بن
57	وسميته ب قره العين بمهمات الدين راجيا من الرحمن ان	وسميته ب قره العين بمهمات الدين راجيا من الرحمن ان
58	ينتفع به الاذكياء وان تقربه عيني غدا بالنظر الي وجهه الكريم بكره وعشيا .	ينتفع به الاذكياء وان تقربه عيني غدا بالنظر الي وجهه الكريم بكره وعشيا .
59	عبيد بن عبد بن يزيد بن هاشم بن	عبيد بن عبد بن يزيد بن هاشم بن
60	عبد المطلب بن عبد مناف .	عبد المطلب بن عبد مناف .
61	وشافع وهو الذي ينسب اليه الامام واسلم هو وابوه السائب يوم بدر .	وشافع وهو الذي ينسب اليه الامام واسلم هو وابوه السائب يوم بدر .
62	وولد امامنا رضي الله عنه سنه خمسين ومائه وتوفي يوم الجمعه سلخ رجب سنه	وولد امامنا رضي الله عنه سنه خمسين ومائه وتوفي يوم الجمعه سلخ رجب سنه
63	اربع ومائتين .	اربع ومائتين .
64	وسميته ب قره العين ببيان مهمات احكام الدين انتخبته وهذا الشرح من الكتب	وسميته ب قره العين ببيان مهمات احكام الدين انتخبته وهذا الشرح من الكتب
65	المعتمده لشيخنا خاتمه المحققين شهاب الدين احمد بن حجر الهيثمي وبقيه	المعتمده لشيخنا خاتمه المحققين شهاب الدين احمد بن حجر الهيثمي وبقيه
66	المجتهدين مثل وجيه الدين عبد الرحمن بن زياد الزبيدي رضي الله عنهما وشيخي	المجتهدين مثل وجيه الدين عبد الرحمن بن زياد الزبيدي رضي الله عنهما وشيخي
67	مشايخنا : شيخ الاسلام المجدد زكريا الانصاري الامام الامجد احمد المزجد	مشايخنا : شيخ الاسلام المجدد زكريا الانصاري الامام الامجد احمد المزجد
68	الزبيدي رحمهما الله تعالي وغير هم من محققي المتاخرين معتمدا علي ما جزم	الزبيدي رحمهما الله تعالي وغير هم من محققي المتاخرين معتمدا علي ما جزم
69	به ms002 شيخا المذهب : النووي والرافعي فالنووي فمحققو المتاخرين رضي الله عنهم .	به ms002 شيخا المذهب : النووي والرافعي فالنووي فمحققو المتاخرين رضي الله عنهم .
70	راجيا من ربنا الرحمن ان ينتفع به الاذكياء اي العلاء وان تقر به بسببه	راجيا من ربنا الرحمن ان ينتفع به الاذكياء اي العلاء وان تقر به بسببه
71	عيني غدا اي اليوم الاخر بالنظر الي وجهه الكريم بكره وعشيا امين .	عيني غدا اي اليوم الاخر بالنظر الي وجهه الكريم بكره وعشيا امين .
72	* * *	* * *
73	| باب الصلاه	| باب الصلاه
74	| مدخل	| مدخل
75	. . .	. . .
76	باب الصلاه	باب الصلاه
77	انما تجب المكتوبه علي مسلم مكلف طاهر ويقتل ان اخرجها عن وقت جمع ان لم	انما تجب المكتوبه علي مسلم مكلف طاهر ويقتل ان اخرجها عن وقت جمع ان لم
78	يتب ,	يتب ,
79	باب الصلاه	باب الصلاه
80	هي شرعا : اقوال وافعال مخصوصه مفتتحه بالتكبير مختتمه بالتسليم وسميت	هي شرعا : اقوال وافعال مخصوصه مفتتحه بالتكبير مختتمه بالتسليم وسميت
81	بذلك لاشتمالها علي الصلاه لغه وهي الدعاء .	بذلك لاشتمالها علي الصلاه لغه وهي الدعاء .
82	والمفروضات العينيه خمس في كل يوم وليله معلومه من الدين بالضروره فيكفر	والمفروضات العينيه خمس في كل يوم وليله معلومه من الدين بالضروره فيكفر
83	جاحدها ولم تجتمع هذه الخمس لغير نبينا محمد ص وفرضت ليله الاسراء بعد	جاحدها ولم تجتمع هذه الخمس لغير نبينا محمد ص وفرضت ليله الاسراء بعد
84	النبوه بعشر سنين وثلاثه اشهر ليله سبع وعشرين من رجب ولم تجب صبح يوم تلك	النبوه بعشر سنين وثلاثه اشهر ليله سبع وعشرين من رجب ولم تجب صبح يوم تلك
85	الليله لعدم العلم بكيفيتها .	الليله لعدم العلم بكيفيتها .
86	انما تجب المكتوبه اي الصلوات الخمس علي كل مسلم مكلف اي بالغ عاقل ذكر	انما تجب المكتوبه اي الصلوات الخمس علي كل مسلم مكلف اي بالغ عاقل ذكر
87	او غيره طاهر فلا تجب علي كافر اصلي وصبي ومجنون ومغمي عليه وسكران بلا تعد	او غيره طاهر فلا تجب علي كافر اصلي وصبي ومجنون ومغمي عليه وسكران بلا تعد
88	لعدم تكليفهم ولا علي حائض ونفساء لعدم صحتها منهما ولا قضاء عليهما بل تجب	لعدم تكليفهم ولا علي حائض ونفساء لعدم صحتها منهما ولا قضاء عليهما بل تجب
89	علي مرتد ومتعد بسكر .	علي مرتد ومتعد بسكر .
